counter_id,counter,daily_range_high,daily_range_low,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
14649,NBS,151.99,151.99,149.63,151.99,152.0,151.99,229773.0,4.54,2.99,6.64,15.06,8.84,442378.04,29378.0,2910573356.0,2024-11-22,14:47:58
14650,NICO,250.63,250.63,250.63,263.0,250.39,250.63,17500.0,10.0,3.99,11.9,8.41,2.87,261417.39,31096.0,1043041096.0,2024-11-22,14:47:58
14651,NITL,409.92,409.0,0.0,409.92,409.92,409.67,240.0,6.5,1.59,38.88,2.57,1.23,55305.45,21504.55,135000000.0,2024-11-22,14:47:58
14652,OMU,,,1950.01,0.0,1950.01,1950.01,0.0,63.37,3.25,5.26,19.02,1.71,24187.29,1271.4,12403674.0,2024-11-22,14:47:58
14653,PCL,2499.79,2499.79,0.0,2499.79,2499.8,2499.79,40.0,46.0,1.84,13.45,7.44,1.14,300614.3,40421.0,120255820.0,2024-11-22,14:47:58
14654,STANDARD,6000.07,6000.06,6000.07,0.0,6000.05,6000.07,6154.0,108.24,1.8,3.73,26.81,7.26,1408025.4,52520.0,234668162.0,2024-11-22,14:47:58
14655,SUNBIRD,,,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-11-22,14:47:58
14656,TNM,26.01,26.0,0.0,26.01,26.01,26.01,132983.0,0.0,0.0,-1.82,-54.86,6.25,261152.1,-4760.0,10040450000.0,2024-11-22,14:47:58
14657,AIRTEL,85.0,79.16,85.0,0.0,79.14,81.5,1000000.0,0.0,0.0,-1.72,-58.12,-84.52,896500.0,-15424.24,11000000000.0,2024-11-25,14:50:47
14658,BHL,,,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-11-25,14:50:47
14659,FDHB,148.66,148.65,148.0,148.65,148.66,148.65,67620.0,3.28,2.21,3.47,28.78,17.48,1025838.3,35646.93,6901031250.0,2024-11-25,14:50:47
14660,FMBCH,430.0,429.99,400.0,430.0,400.0,430.0,61936.0,10.99,2.56,5.7,17.53,4.57,1057047.5,60287.2,2458250000.0,2024-11-25,14:50:47
14661,ICON,,,0.0,15.79,15.78,15.78,0.0,0.27,1.71,18.18,5.5,0.87,105410.4,19159.35,6680000000.0,2024-11-25,14:50:47
14662,ILLOVO,,,1355.13,0.0,1355.12,1355.12,0.0,29.2,2.15,5.87,17.03,6.95,966802.76,56758.0,713444391.0,2024-11-25,14:50:47
14663,MPICO,14.84,14.83,0.0,14.83,14.82,14.83,1737855.0,0.38,2.56,16.05,6.23,0.6,34080.04,5468.81,2298047460.0,2024-11-25,14:50:47
14664,NBM,3450.01,3450.01,0.0,3450.01,3450.01,3450.01,7824.0,102.8,2.98,4.48,22.3,7.8,1610919.17,72245.0,466931738.0,2024-11-25,14:50:47
14665,NBS,152.0,151.99,149.63,151.99,151.99,152.0,879370.0,4.54,2.99,6.64,15.06,8.84,442407.15,29378.0,2910573356.0,2024-11-25,14:50:47
14666,NICO,260.0,260.0,250.63,287.0,250.63,260.0,400000.0,10.0,3.85,11.47,8.72,2.98,271190.68,31096.0,1043041096.0,2024-11-25,14:50:47
14667,NITL,409.92,409.91,0.0,409.92,409.67,409.91,38787.0,6.5,1.59,38.86,2.57,1.23,55337.85,21504.55,135000000.0,2024-11-25,14:50:47
14668,OMU,,,1950.01,0.0,1950.01,1950.01,0.0,63.37,3.25,5.26,19.02,1.71,24187.29,1271.4,12403674.0,2024-11-25,14:50:47
14669,PCL,2499.79,2499.79,0.0,2499.79,2499.79,2499.79,4.0,46.0,1.84,13.45,7.44,1.14,300614.3,40421.0,120255820.0,2024-11-25,14:50:47
14670,STANDARD,,,6000.07,0.0,6000.07,6000.07,0.0,108.24,1.8,3.73,26.81,7.26,1408025.4,52520.0,234668162.0,2024-11-25,14:50:47
14671,SUNBIRD,,,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-11-25,14:50:47
14672,TNM,26.01,26.0,0.0,26.0,26.01,26.01,3010.0,0.0,0.0,-1.82,-54.86,6.25,261152.1,-4760.0,10040450000.0,2024-11-25,14:50:47
14673,AIRTEL,90.0,85.02,85.02,0.0,81.5,85.55,56209.0,0.0,0.0,-1.64,-61.01,-88.72,941050.0,-15424.24,11000000000.0,2024-11-26,15:29:02
14674,BHL,,,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-11-26,15:29:02
14675,FDHB,148.65,148.65,148.0,148.65,148.65,148.65,13359.0,3.28,2.21,3.47,28.78,17.48,1025838.3,35646.93,6901031250.0,2024-11-26,15:29:02
14676,FMBCH,,,430.0,450.0,430.0,430.0,0.0,10.99,2.56,5.7,17.53,4.57,1057047.5,60287.2,2458250000.0,2024-11-26,15:29:02
14677,ICON,,,0.0,15.79,15.78,15.78,0.0,0.27,1.71,18.18,5.5,0.87,105410.4,19159.35,6680000000.0,2024-11-26,15:29:02
14678,ILLOVO,,,1355.13,0.0,1355.12,1355.12,0.0,29.2,2.15,5.87,17.03,6.95,966802.76,56758.0,713444391.0,2024-11-26,15:29:02
14679,MPICO,,,0.0,14.83,14.83,14.83,0.0,0.38,2.56,16.05,6.23,0.6,34080.04,5468.81,2298047460.0,2024-11-26,15:29:02
14680,NBM,3450.01,3450.01,0.0,3450.01,3450.01,3450.01,85.0,102.8,2.98,4.48,22.3,7.8,1610919.17,72245.0,466931738.0,2024-11-26,15:29:02
14681,NBS,152.0,151.98,149.63,152.0,152.0,151.99,674643.0,4.54,2.99,6.64,15.06,8.84,442378.04,29378.0,2910573356.0,2024-11-26,15:29:02
14682,NICO,287.0,287.0,260.0,287.0,260.0,287.0,68442.0,10.0,3.48,10.39,9.63,3.29,299352.79,31096.0,1043041096.0,2024-11-26,15:29:02
14683,NITL,409.94,409.89,0.0,0.0,409.91,409.93,1356490.0,6.5,1.59,38.86,2.57,1.23,55340.55,21504.55,135000000.0,2024-11-26,15:29:02
14684,OMU,,,1950.01,0.0,1950.01,1950.01,0.0,63.37,3.25,5.26,19.02,1.71,24187.29,1271.4,12403674.0,2024-11-26,15:29:02
14685,PCL,,,0.0,2499.79,2499.79,2499.79,0.0,46.0,1.84,13.45,7.44,1.14,300614.3,40421.0,120255820.0,2024-11-26,15:29:02
14686,STANDARD,6000.08,6000.08,6000.08,0.0,6000.07,6000.08,1000.0,108.24,1.8,3.73,26.81,7.26,1408027.75,52520.0,234668162.0,2024-11-26,15:29:02
14687,SUNBIRD,,,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-11-26,15:29:02
14688,TNM,26.01,25.99,0.0,26.0,26.01,26.0,101238.0,0.0,0.0,-1.82,-54.84,6.25,261051.7,-4760.0,10040450000.0,2024-11-26,15:29:02
14689,AIRTEL,90.01,90.01,90.01,0.0,85.55,90.01,21580.0,0.0,0.0,-1.56,-64.19,-93.35,990110.0,-15424.24,11000000000.0,2024-11-27,14:48:06
14690,BHL,,,14.58,0.0,14.55,14.55,0.0,0.0,0.0,-6.49,-15.41,1.77,12218.37,-792.76,839750705.0,2024-11-27,14:48:06
14691,FDHB,148.65,148.64,135.0,148.64,148.65,148.65,280560.0,3.28,2.21,3.47,28.78,17.48,1025838.3,35646.93,6901031250.0,2024-11-27,14:48:06
14692,FMBCH,430.0,430.0,400.0,430.0,430.0,430.0,4317.0,10.99,2.56,5.7,17.53,4.57,1057047.5,60287.2,2458250000.0,2024-11-27,14:48:06
14693,ICON,15.78,15.78,0.0,15.77,15.78,15.78,1000.0,0.27,1.71,18.18,5.5,0.87,105410.4,19159.35,6680000000.0,2024-11-27,14:48:06
14694,ILLOVO,1355.13,1355.09,1355.09,0.0,1355.12,1355.11,10337.0,29.2,2.15,5.87,17.03,6.95,966795.63,56758.0,713444391.0,2024-11-27,14:48:06
14695,MPICO,16.5,14.83,14.84,0.0,14.83,16.5,180260.0,0.38,2.3,14.42,6.93,0.66,37917.78,5468.81,2298047460.0,2024-11-27,14:48:06
14696,NBM,3450.01,3450.0,0.0,3450.0,3450.01,3450.0,1450.0,102.8,2.98,4.48,22.3,7.8,1610914.5,72245.0,466931738.0,2024-11-27,14:48:06
14697,NBS,152.0,151.97,140.0,151.98,151.99,151.97,1151232.0,4.54,2.99,6.64,15.06,8.84,442319.83,29378.0,2910573356.0,2024-11-27,14:48:06
14698,NICO,287.0,287.0,287.0,0.0,287.0,287.0,22247.0,10.0,3.48,10.39,9.63,3.29,299352.79,31096.0,1043041096.0,2024-11-27,14:48:06
14699,NITL,,,409.93,440.0,409.93,409.93,0.0,6.5,1.59,38.86,2.57,1.23,55340.55,21504.55,135000000.0,2024-11-27,14:48:06
14700,OMU,,,1950.01,0.0,1950.01,1950.01,0.0,63.37,3.25,4.89,20.46,1.83,26014.34,1271.4,13340621.0,2024-11-27,14:48:06
14701,PCL,2499.79,2499.79,0.0,2499.79,2499.79,2499.79,65.0,46.0,1.84,13.45,7.44,1.14,300614.3,40421.0,120255820.0,2024-11-27,14:48:06
14702,STANDARD,6000.09,6000.09,6000.1,0.0,6000.08,6000.09,4475.0,108.24,1.8,3.73,26.81,7.26,1408030.09,52520.0,234668162.0,2024-11-27,14:48:06
14703,SUNBIRD,,,240.06,0.0,240.03,240.03,0.0,7.7,3.21,8.36,11.96,1.29,62787.67,5251.9,261582580.0,2024-11-27,14:48:06
